Table,Column,Role,Notes
techachievement_catalog.csv,Entry,Key,
techachievement_catalog.csv,Tier,Value,
techachievement_catalog.csv,Category,Value,free text; overlaps but not identical to buildings.csv's Category vocabulary
techachievement_catalog.csv,Design status,Value,
techachievement_catalog.csv,Notes,Value,
items.csv,Item,Key,
items.csv,Category,Value,
items.csv,Notes,Value,
buildings.csv,Building,Key,"one row per upgrade tier, not per building"
buildings.csv,Category,Value,
buildings.csv,Staffing,Value,
buildings.csv,Indoor/Outdoor,Value,
buildings.csv,Grid slots,Value,
buildings.csv,Repeatable,Value,
buildings.csv,Upgrade of,FK -> buildings.csv (self-referential),blank for a base tier
buildings.csv,Baseline Energy upkeep,Value,"flat per-season Energy consumption draw just for existing on the grid, per the Resources section's 'Baseline Energy upkeep' rule; see that row's Notes for a flagged tension with the Eligibility rule for the four Energy-producer buildings"
buildings.csv,Design status,Value,
buildings.csv,Notes,Value,
building_construction_costs.csv,Building,Key + FK -> buildings.csv,
building_construction_costs.csv,Item,Key + FK -> items.csv,
building_construction_costs.csv,Quantity,Value,
building_construction_costs.csv,Design status,Value,
building_construction_costs.csv,Notes,Value,
recipes.csv,Recipe ID,Key,convention: <building_slug>.<recipe_slug>
kitchen_combo_flavor_names.csv,Recipe ID,Key + FK -> recipes.csv,
kitchen_combo_flavor_names.csv,Flavor name,Key,"purely cosmetic; production randomly selects one from this recipe's pool, zero mechanical effect"
kitchen_combo_flavor_names.csv,Design status,Value,
kitchen_combo_flavor_names.csv,Notes,Value,
recipes.csv,Building,FK -> buildings.csv,
recipes.csv,Recipe name,Value,
recipes.csv,Production time (s),Value,
recipes.csv,Design status,Value,
recipes.csv,Notes,Value,
recipe_ingredients.csv,Recipe ID,Key + FK -> recipes.csv,
recipe_ingredients.csv,Item,Key + Soft reference -> items.csv,"soft: a fabrication recipe's Output can be a drone, not an items.csv row"
recipe_ingredients.csv,Role,Value,Input/Output — not to be confused with this schema file's own Role column
recipe_ingredients.csv,Quantity,Value,
