Term,Faction,When it accrues,What emits it,Notes
NutritionIncome,Sustenance Bloc,"Cycle completion, live during Mid-Sim",Food-producing buildings and Standing Assignments,"net of any food the cycle consumed, so a Kitchen is credited for the nutritional improvement rather than re-credited for its ingredients; scored as a linear average over the run last 5 seasons"
NutritionStockpile,Sustenance Bloc,Run-end snapshot,Food Storage held bulk,fed only by a Ration Press Stockpile Fill; anything extracted back out before run end is not scored
ResourceIncome,Development Bloc,"Cycle completion, live during Mid-Sim","Non-food producing buildings and Standing Assignments (Trapping, Clear-Cutting)",rarity-weighted; scored as a linear average over the run last 5 seasons
ResourceStockpile,Development Bloc,Run-end snapshot,Non-food inventory,rarity-weighted sqrt of held amount
TechAchievement,Development Bloc,First time each catalog entry is ever reached,"Building tiers, fabricated item types, drone states","once per distinct entry per run, regardless of copies built or units produced; see techachievement_catalog.csv"
ExtractionRestraint,Stewardship Caucus,"At harvest, on cycle completion","Mine, Quarry, Rare Metal Extractor, Fossil Fuel extraction, Clear-Cutting Wood",tracked at the point of harvest rather than by tracing which pooled unit is later consumed
EmissionsRestraint,Stewardship Caucus,"Per unit of Energy produced, live during Mid-Sim",Fuel-based Generator,Fossil Fuel penalized at a higher per-unit rate than Wood; applies regardless of whether the Wood was sustainably sourced
DisruptionFootprint,Stewardship Caucus,"On grid-slot state change, plus a flat amount at settlement founding","Construction, harvesting, extraction, fence tiles",measured against the pristine site captured at Farm Site Selection
ContactRestraint,Stewardship Caucus,"Once per run, from the contact outcome reached",The sentience-contact chain,"a single discrete tier rather than a cumulative sum, since a run has at most one encounter"
EcologicalData,Stewardship Caucus,"On report arrival, at Post-Sim",Sentience-detection and biodiversity-survey exploration tasks,"one shared counter; the answer reached does not matter, only that one was reached"
Confidence (per sub-factor),Safeguard Coalition,"On report arrival, at Post-Sim","Scanner Station reports, surveys, data-gathering exploration tasks","min(evidence count / max-needed count, 1); aggregated to Data(axis) at equal weight per sub-factor"
MatchedRisk (per sub-factor),Safeguard Coalition,"On report arrival, at Post-Sim",The same reports that feed Confidence,each report increments a or b; aggregated to the axis as the mean of its sub-factors
MatchedPreparedness (per axis),Safeguard Coalition,TBD,Standing Weather Shields/Row Shields (Weather) and Medical Bay tiers (Bio-hazard),open: whether this reads standing preparedness at run end or averages it across the run; a run-end snapshot would let a player build shields on the last season for full credit
legend_value,Frontier Legends,On the event that earns it,"Legend-outcome tasks, the sentience-contact chain, injury/death on risk-bearing tasks",accrues per settler; see exploration_task_legend_outcomes.csv and misc_balancing_values.csv Risk Spectrum rows
