Entry,Tier,Category,Design status,Notes
Settlement Base (base),0,Basic Resource Production,Needs Balancing,
Solar Array (base),0,Basic Resource Production,Needs Balancing,
Fuel-based Generator (Wood),0,Basic Resource Production,Needs Balancing,
Hydroponic Farm,0,Farm/Production,Needs Balancing,
Trapping,0,Farm/Production,Needs Balancing,
Husbandry Site (base and Titan-tier — no increase for the upgrade),0,Farm/Production,Needs Balancing,
Water Processing Plant (base),0,Water,Needs Balancing,
Water Condenser / Ice Melter / Cistern (each),0,Water,Needs Balancing,
Well (base),0,Water,Needs Balancing,
Cafeteria,0,Food/Meal Conversion,Needs Balancing,
Ration Press,0,Food/Meal Conversion,Needs Balancing,
Stone Processing I,0,Fabrication — buildings,Needs Balancing,
Smelter,0,Fabrication — buildings,Needs Balancing,
Textile Workshop,0,Fabrication — buildings,Needs Balancing,
Sawmill,0,Fabrication — buildings,Needs Balancing,
Concrete / Lumber (each),0,Fabrication — items,Needs Balancing,
Food Storage (base),0,Storage,Needs Balancing,
Geothermal Generator,1,Basic Resource Production,Needs Balancing,
Fuel-based Generator II,1,Basic Resource Production,Needs Balancing,
Mine,1,Deposit Discovery,Needs Balancing,
Quarry,1,Deposit Discovery,Needs Balancing,
Rare Metal Extractor,1,Deposit Discovery,Needs Balancing,
Robotics Assembly (base),1,Fabrication — buildings,Needs Balancing,
"Iron / Copper (smelted, each)",1,Fabrication — items,Needs Balancing,
Fabric,1,Fabrication — items,Needs Balancing,
Leather,1,Fabrication — items,Needs Balancing,
Leather Backpack,1,Fabrication — items,Needs Balancing,
Construction Robot,1,Drones,Needs Balancing,
"All-Purpose Drone, Basic",1,Drones,Needs Balancing,
Weather Shield (base),1,Protection,Needs Balancing,
Row Shield,1,Protection,Needs Balancing,
Emergency Medical Kit,1,Protection,Needs Balancing,
Crew Quarters,1,Habitation,Needs Balancing,
Settlement Base II (upgraded),2,Basic Resource Production,Needs Balancing,
Solar Array II,2,Basic Resource Production,Needs Balancing,
Geothermal Generator II,2,Basic Resource Production,Needs Balancing,
"Same seven, upgraded tier (each)",2,Farm/Production,Needs Balancing,
Water Reclamation Plant,2,Water,Needs Balancing,
Deep Well,2,Water,Needs Balancing,
Research Lab,2,Scanner Station / Research Lab,Needs Balancing,
Kitchen (combo recipes),2,Food/Meal Conversion,Needs Balancing,
Gourmet tier (per settler-invented recipe),2,Food/Meal Conversion,TBD,Gated by settler mastery and alliance state rather than materials — doesn't derive from the rubric's own input-cost logic; placement is a deliberate placeholder pending balancing.
Robotics Assembly II,2,Fabrication — buildings,Needs Balancing,
Stone Processing II,2,Fabrication — buildings,Needs Balancing,
Tinkerer's Workshop,2,Fabrication — buildings,Needs Balancing,
Carpenter's Shop,2,Fabrication — buildings,Needs Balancing,
Silicon,2,Fabrication — items,Needs Balancing,
Glass,2,Fabrication — items,Needs Balancing,
Biological Lab Materials,2,Fabrication — items,Needs Balancing,
Leather Boots,2,Fabrication — items,Needs Balancing,
Fine Furniture,2,Fabrication — items,Needs Balancing,
Ornamental/Decorative Items,2,Fabrication — items,Needs Balancing,
Wooden Plow,2,Fabrication — items,Needs Balancing,
Tiny Trap / Small Trap (each),2,Fabrication — items,Needs Balancing,
High-Tech Components,2,Fabrication — items,Needs Balancing,
High-Resolution Screens,2,Fabrication — items,Needs Balancing,
"All-Purpose Drone, Advanced",2,Drones,Needs Balancing,
"All-Purpose Drone, Basic + Hardened",2,Drones,Needs Balancing,
"Specialized Drone, Basic",2,Drones,Needs Balancing,
Weather Shield II,2,Protection,Needs Balancing,
Medical Bay (base),2,Protection,Needs Balancing,
PPE,2,Protection,Needs Balancing,
Food Storage II,2,Storage,Needs Balancing,
Hybridization (per-planet signature discovery),3,Farm/Production,Needs Balancing,
Hybridization (Grazer immunity discovery),3,Farm/Production,Needs Balancing,
Scanner Station (base),3,Scanner Station / Research Lab,Needs Balancing,
Scanner Station II (unstaffed),3,Scanner Station / Research Lab,Needs Balancing,
Local Delicacy,3,Food/Meal Conversion,TBD,Gated by settler mastery and alliance state rather than materials — doesn't derive from the rubric's own input-cost logic; placement is a deliberate placeholder pending balancing.
Portable High-Powered Scanning Equipment,3,Fabrication — items,Needs Balancing,
Temperature-Resistant Gear,3,Fabrication — items,Needs Balancing,
Diplomatic Gear,3,Fabrication — items,Needs Balancing,
Armed Expedition Kit,3,Fabrication — items,Needs Balancing,
"All-Purpose Drone, Advanced + Hardened",3,Drones,Needs Balancing,
"Specialized Drone, Advanced",3,Drones,Needs Balancing,
"Specialized Drone, Basic + Hardened",3,Drones,Needs Balancing,
Hospital,3,Protection,Needs Balancing,
Luxury Living Quarters,3,Habitation,Needs Balancing,
"Hybridization (meteorite-fragment, planet-independent)",4,Farm/Production,Needs Balancing,
Scanner Station III (all-modes),4,Scanner Station / Research Lab,Needs Balancing,
Overwhelming Force Package,4,Fabrication — items,Needs Balancing,
"Specialized Drone, Advanced + Hardened",4,Drones,Needs Balancing,
"Grain Field / Fruit Orchard / Dairy Pasture / Poultry Coop / Sheep Pasture / Fiber Field / Timber Grove (base, each)",0,Farm/Production,Needs Balancing,
