Building,Category,Staffing,Indoor/Outdoor,Grid slots,Worker slots,Repeatable,Upgrade of,Design status,Baseline Energy upkeep,Notes
Settlement Base,Basic Resource Production / Habitation,Unstaffed,N/A,1,0,No,,Needs Balancing,TBD,"doc tension: 'Baseline Energy upkeep' says every building including producers carries this flat cost, but 'Eligibility' (Resources) says Energy producers draw no Energy at all -- flagged, not resolved; also houses crew quarters; cannot be rebuilt if destroyed"
Settlement Base II,Basic Resource Production / Habitation,Unstaffed,N/A,1,0,No,Settlement Base,Needs Balancing,TBD,"doc tension: 'Baseline Energy upkeep' says every building including producers carries this flat cost, but 'Eligibility' (Resources) says Energy producers draw no Energy at all -- flagged, not resolved; keeps quarters"
Solar Array,Basic Resource Production,Unstaffed,N/A,1,0,Yes,,Needs Balancing,TBD,"doc tension: 'Baseline Energy upkeep' says every building including producers carries this flat cost, but 'Eligibility' (Resources) says Energy producers draw no Energy at all -- flagged, not resolved"
Solar Array II,Basic Resource Production,Unstaffed,N/A,1,0,Yes,Solar Array,Needs Balancing,TBD,"doc tension: 'Baseline Energy upkeep' says every building including producers carries this flat cost, but 'Eligibility' (Resources) says Energy producers draw no Energy at all -- flagged, not resolved; path toward eventual Fusion Generator"
Geothermal Generator,Basic Resource Production,Unstaffed,N/A,1,0,Yes (capped by Thermal Vents),,Needs Balancing,TBD,"doc tension: 'Baseline Energy upkeep' says every building including producers carries this flat cost, but 'Eligibility' (Resources) says Energy producers draw no Energy at all -- flagged, not resolved; Volcanic-exclusive, built on Thermal Vent"
Geothermal Generator II,Basic Resource Production,Unstaffed,N/A,1,0,Yes (capped by Thermal Vents),Geothermal Generator,Needs Balancing,TBD,"doc tension: 'Baseline Energy upkeep' says every building including producers carries this flat cost, but 'Eligibility' (Resources) says Energy producers draw no Energy at all -- flagged, not resolved"
Fuel-based Generator I,Basic Resource Production,Unstaffed,N/A,1,0,Yes,,Needs Balancing,TBD,"doc tension: 'Baseline Energy upkeep' says every building including producers carries this flat cost, but 'Eligibility' (Resources) says Energy producers draw no Energy at all -- flagged, not resolved; Conditional Energy income; burns Wood"
Fuel-based Generator II,Basic Resource Production,Unstaffed,N/A,1,0,Yes,Fuel-based Generator I,Needs Balancing,TBD,"doc tension: 'Baseline Energy upkeep' says every building including producers carries this flat cost, but 'Eligibility' (Resources) says Energy producers draw no Energy at all -- flagged, not resolved; unlocks burning Fossil Fuel; no further upgrade path"
Grain Field,Farm/Production,Staffed,Outdoor,1,1,Yes,,Needs Balancing,TBD,"4-state persistent cycle, see plant_crop_transitions.csv"
Fruit Orchard,Farm/Production,Staffed,Outdoor,1,1,Yes,,Needs Balancing,TBD,one-time establishment + repeating fruit loop
Fiber Field,Farm/Production,Staffed,Outdoor,1,1,Yes,,Needs Balancing,TBD,same shape as Grain Field
Timber Grove,Farm/Production,Staffed,Outdoor,1,1,Yes,,Needs Balancing,TBD,one-time establishment + self-loop harvest
Hydroponic Farm,Farm/Production,Staffed,Indoor,1,1,Yes,,TBD,TBD,Grain or Fiber recipe; slower than outdoor; no Wooden Plow bonus
Dairy Pasture,Farm/Production,Staffed,Outdoor,1,1,Yes,,Needs Balancing,TBD,slated for removal — native-fauna pivot
Poultry Coop,Farm/Production,Staffed,Outdoor,1,1,Yes,,Needs Balancing,TBD,slated for removal — native-fauna pivot
Sheep Pasture,Farm/Production,Staffed,Outdoor,1,1,Yes,,Needs Balancing,TBD,slated for removal — native-fauna pivot
Husbandry Site,Farm/Production,Staffed,Outdoor,1,1,Yes,,Needs Balancing,TBD,species-agnostic; committed to one species per Capture
Husbandry Site (Titan-tier),Farm/Production,Staffed,Outdoor,2,1,Yes,Husbandry Site,Needs Balancing,TBD,required for Titan-sized animals only; free relocation on upgrade
Mine,Deposit Discovery,Staffed,Outdoor,1,1,Yes,,Needs Balancing,TBD,built on Iron/Copper Ore deposit
Quarry,Deposit Discovery,Staffed,Outdoor,1,1,Yes,,Needs Balancing,TBD,built on Stone deposit; deliberately cheap (bootstrap)
Rare Metal Extractor,Deposit Discovery,Staffed,Outdoor,1,1,Yes,,Needs Balancing,TBD,built on rare-metal deposit
Water Processing Plant,Water (Utilities),N/A,N/A,1,0,No,,Needs Balancing,TBD,starting building; prerequisite for all Water collection
Water Reclamation Plant,Water (Utilities),N/A,N/A,1,0,No,Water Processing Plant,Needs Balancing,TBD,settlement-wide Water consumption reduction
Water Condenser,Water (Utilities),Staffed,Outdoor,1,1,Yes,,Needs Balancing,TBD,best on Volcanic
