Recipe ID,Flavor name,Design status,Notes
kitchen.sandwich,Club,Illustrative,
kitchen.sandwich,Egg Salad,Illustrative,
kitchen.sandwich,Breakfast Sandwich,Illustrative,
kitchen.sandwich,Croque Madame,Illustrative,
kitchen.pasta_dish,Alfredo,Illustrative,
kitchen.pasta_dish,Mac & Cheese,Illustrative,
kitchen.pasta_dish,Carbonara,Illustrative,
kitchen.pasta_dish,Baked Ziti,Illustrative,
kitchen.fruit_pastry,Fruit Pie,Illustrative,
kitchen.fruit_pastry,Turnover,Illustrative,
kitchen.fruit_pastry,Strudel,Illustrative,
kitchen.fruit_pastry,Cobbler,Illustrative,
kitchen.custard_dish,Custard,Illustrative,
kitchen.custard_dish,Flan,Illustrative,
kitchen.custard_dish,Quiche,Illustrative,
kitchen.custard_dish,Crème Brûlée,Illustrative,
