Recipe ID,Item,Role,Quantity,Design status,Notes
mine.ore,Iron Ore,Output,1 (mixed draw),Needs Balancing,drawn independently per unit from deposit's Iron/Copper percentage split
mine.ore,Copper Ore,Output,1 (mixed draw),Needs Balancing,drawn independently per unit from deposit's Iron/Copper percentage split
quarry.stone,Stone,Output,1,Needs Balancing,
rare_metal_extractor.rare_metal,Rare Metal,Output,1,Needs Balancing,
dairy_pasture.milk,Milk,Output,1,Needs Balancing,"recipe also draws a flat Water reservation, amount TBD"
poultry_coop.eggs,Eggs,Output,1,Needs Balancing,"recipe also draws a flat Water reservation, amount TBD"
sheep_pasture.wool,Wool,Output,1,Needs Balancing,"recipe also draws a flat Water reservation, amount TBD"
kitchen.bread,Grain,Input,TBD,TBD,
kitchen.bread,Bread,Output,TBD,TBD,Carbs-heavy
kitchen.fruit_dish,Fruit,Input,TBD,TBD,
kitchen.fruit_dish,Fruit Dish,Output,TBD,TBD,Vitamins-heavy
kitchen.dairy_dish,Milk,Input,TBD,TBD,
kitchen.dairy_dish,Dairy Dish,Output,TBD,TBD,Protein/Fat/Vitamins
kitchen.egg_dish,Eggs,Input,TBD,TBD,
kitchen.egg_dish,Egg Dish,Output,TBD,TBD,Protein/Fat-heavy
kitchen.sandwich,Grain,Input,TBD,TBD,
kitchen.sandwich,Eggs,Input,TBD,TBD,
kitchen.sandwich,Sandwich,Output,TBD,TBD,flavor-name pool: Club/Egg Salad/Breakfast Sandwich/Croque Madame
kitchen.pasta_dish,Grain,Input,TBD,TBD,
kitchen.pasta_dish,Milk,Input,TBD,TBD,
kitchen.pasta_dish,Pasta Dish,Output,TBD,TBD,flavor-name pool: Alfredo/Mac & Cheese/Carbonara/Baked Ziti
kitchen.fruit_pastry,Grain,Input,TBD,TBD,
kitchen.fruit_pastry,Fruit,Input,TBD,TBD,
kitchen.fruit_pastry,Fruit Pastry,Output,TBD,TBD,flavor-name pool: Fruit Pie/Turnover/Strudel/Cobbler
kitchen.custard_dish,Milk,Input,TBD,TBD,
kitchen.custard_dish,Eggs,Input,TBD,TBD,
kitchen.custard_dish,Fruit,Input,TBD,TBD,
kitchen.custard_dish,Custard Dish,Output,TBD,TBD,flavor-name pool: Custard/Flan/Quiche/Creme Brulee; most PFCV-balanced
kitchen.gourmet,Gourmet Dish (generic),Output,1,TBD,requires maxed Kitchen Experience + a Seasoning in inventory; 75% brilliance chance
kitchen.local_delicacy,Local Delicacy,Output,TBD,TBD,ingredient sourced via Trade Agreement
ration_press.rations,Rations,Output,TBD,TBD,"formula: floor(min(P,F,C,V) across selected inputs), lossy vs. old min/2 formula per rework"
ration_press.stockpile_fill,Rations,Output,TBD,TBD,"same content as packaged Rations, routed to Food Storage bulk instead"
food_storage.extraction,Rations,Output,TBD,TBD,deliberately poor extraction rate
